"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"419";"La Zarza";"Iberian Peninsula";18,183;15,629;38,201;"#FFA500";"triangle";25,25;21,7;53,05
"420";"La Zarza";"Iberian Peninsula";18,187;15,623;38,181;"#FFA500";"triangle";25,26;21,7;53,04
"421";"La Zarza";"Iberian Peninsula";18,192;15,637;38,229;"#FFA500";"triangle";25,25;21,7;53,05
"422";"Lagoa Salgada";"Iberian Peninsula";18,19;15,622;38,193;"#FFA500";"triangle";25,26;21,7;53,04
"423";"Lagoa Salgada";"Iberian Peninsula";18,181;15,619;38,178;"#FFA500";"triangle";25,26;21,7;53,04
"424";"Lagoa Salgada";"Iberian Peninsula";18,203;15,651;38,262;"#FFA500";"triangle";25,24;21,7;53,06
"425";"Lomero Poyatos";"Iberian Peninsula";18,217;15,646;38,272;"#FFA500";"triangle";25,25;21,69;53,06
"426";"Los Frailes A-127/28.6-29";"Iberian Peninsula";18,158;15,60189834;38,10238404;"#FFA500";"triangle";25,27;21,71;53,02
"427";"Los Frailes A-128/39.6-40";"Iberian Peninsula";18,1908;15,634810692;38,218325076;"#FFA500";"triangle";25,25;21,7;53,05
"428";"Los Frailes";"Iberian Peninsula";18,171;15,621;38,164;"#FFA500";"triangle";25,25;21,71;53,04
"429";"Lousal (Josè level 400)";"Iberian Peninsula";18,172;15,632;38,235;"#FFA500";"triangle";25,23;21,7;53,08
"430";"Lousal (Josè level 460)";"Iberian Peninsula";18,181;15,636;38,248;"#FFA500";"triangle";25,23;21,7;53,07
"431";"Lousal (Josè level 460)";"Iberian Peninsula";18,169;15,637;38,234;"#FFA500";"triangle";25,22;21,71;53,07
"432";"Lousal (Josè level 500)";"Iberian Peninsula";18,185;15,623;38,212;"#FFA500";"triangle";25,25;21,69;53,06
"433";"Lousal (gossan)";"Iberian Peninsula";18,198;15,643;38,274;"#FFA500";"triangle";25,23;21,69;53,07
"434";"Lousal (gossan)";"Iberian Peninsula";18,22;15,658;38,329;"#FFA500";"triangle";25,23;21,68;53,08
"435";"Lousal (gossan)";"Iberian Peninsula";18,175;15,619;38,234;"#FFA500";"triangle";25,23;21,68;53,08
"436";"Lousal (gossan)";"Iberian Peninsula";18,172;15,621;38,214;"#FFA500";"triangle";25,24;21,69;53,07
"437";"Lousal (gossan)";"Iberian Peninsula";18,217;15,666;38,334;"#FFA500";"triangle";25,23;21,69;53,08
